21	CG_beads	aa	sigma	charge	mass
1	CA	___	1.9	0	56.044		
2	CA	GLY	2.25	0	57.051
3	CB	ALA	2.52	0	15.034
4	CB	ARG	3.28	1	101.15
5	CB	LYS	3.18	1	73.136
6	CB	HIS	3.04	0/1	81.095
7	CB	ASP	2.79	-1	58.035
8	CB	GLU	2.96	-1	72.062
9	CB	SER	2.59	0	31.033
10	CB	THR	2.81	0	45.06
11	CB	ASN	2.84	0	58.059
12	CB	GLN	3.01	0	61.082
13	CB	CYS	2.74	0	47.099
14	CB	PRO	2.78	0	41.071
15	CB	ILE	3.09	0	57.114
16	CB	LEU	3.09	0	57.114
17	CB	MET	3.09	0	75.152
18	CB	PHE	3.18	0	91.13
19	CB	TRP	3.39	0	130.166
20	CB	TYR	3.23	0	107.129
21	CB	VAL	2.93	0	43.087

